
1. Object Denominal Verbs,,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
畚,běn,scoop,畚,běn,to scoop
衬,chèn,a lining,衬,chèn,to line
叠,dié,a stack/pile of something,叠,dié,to stack/pile
糊,hú,paste,糊,hú,to paste
划,huà,a stroke,划,huà,to form a stroke
卷,juǎn,a roll of something,卷,juǎn,to roll up
缝,fèng,a seam,缝,féng,to sew
胯,kuà,groin,胯,kuà,"to stride, bestride"
尿,niào,urine,尿,niào,to urine
挑,tiāo,loads carried on a should pole,挑,tiāo,To carry on the shoulder with a pole
扎,zā,a bundle of something,扎,zā,to bind into a bundle
折,zhé,a fold,折,zhé,to fold
冠,guān,a cap,冠,guan,to put on a cap
种,zhǒng,a seed,种,zhòng,"to plant, grow"
担,dàn,a carrying people and loads on it,担,dān,to carry on a shoulder pole
磨,mò,a millstone,磨,mó,to grind
驮,duò,a load carried by a pack animal,驮,tuó,to carry on the back of animal
钻,zuàn,a drill,钻,zuān,to drill
爪,zhuǎ,law,抓,zhuān,to catch or grab with claws
褶,zhě,a pleat,折,zhé,"to pleat, fold"
2. Location Denominal Verbs,,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
点,diǎn,a dot,点,diǎn,"to dot, put a dot on"
滨,bīn,"bank, shore",滨,bīn,to border on (sea)
毒,dú,poison,毒,dú,to poison
盖,gài,a lid,盖,gài,to cover with a lid
奶,nǎi,breast,奶,nǎi,to breast-feed
网,wǎng,a net,网,wǎng,to net
钉,dīng,a nail,钉,ding,to nail
钢,gāng,steel,钢,gang,to reinforce with steel
泥,ní,mud,泥,nì,to cover with mud/plaster
粪,fèn,manure,粪,fèn,to put manure
漆,qī,paint,漆,qī,to paint
膏,gāo,"grease, ointment",膏,gào,"to grease, lubricate"
瓦,wǎ,tile,瓦,wà,to tile
油,yóu,oil,油,yóu,to paint with oil paint
盐,yán,salt,腌,yān,to pickle with salt
3. Goal/Resultative Denominal Verbs,,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
包,bāo,"a pack, packag",包,bāo,to pack/wrap up
擦,cā,"a brush, eraser",擦,cā,"to erase, scrub"
侧,cè,side,侧,cè,to lean to one side
锉,cuò,a file,锉(剉),cuò,to file
串,chuàn,a string of something,串,chuàn,to string together
粉,fěn,powder,粉,fěn,to white-powder
鲠,gěng,fishbone,鲠,gěng,to choke with on fishbone
画,huà,"a drawing, painting",画,huà,"to draw, paint"
架,jià,"a shelf, frame, prop",架,jià,"to prop,shelve"
胶,jiāo,glue,胶,jiāo,to glue
面,miàn,face,面,miàn,to face
片,piàn,a slice of something,片,piàn,to slice
闩,shuān,"a bar(for door,gate)",闩,shuān,to bar/bolt door
楦,xuàn,shoe last,楦,xuàn,to last shoes
闸,zhā,floodgate,闸,zhā,to dam up water
罩,zhào,"a cover,shade",罩,zhào,"to cover,shade"
座,zuò,a seat,座,zuò,to sit
旁,pang,side,傍,bàng,to be by the side of
中,zhōng,center,中,zhòng,to hit the target
,,,,,
4. Agent Denominal Verbs (Act or be like BASE NOUN),,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
磅,bàng,a scale,磅,bàng,to weigh
包,bāo,"a pack, package",包,bāo,to pack/wrap up
堆,duī,a pile of something,堆,duī,to pile up
垛,duò,a stack of something,垛,duò,to stack
捆,kǔn,a bundle of something,捆,kǔn,to bundle
攮,náng,a dagger,攮,náng,to stab
筛,shāi,"a sieve, sifter",筛,shāi,"to sieve, sift"
拍,pāi,"a bat, racket",拍,pāi,to bounce(ball)
束,shù,a bundle of something,束,shù,to bundle
刷,shuā,a brush,刷,shuā,to brush
指,zhī,finger,指,zhī,to point with finger
皱,zhòu,wrinkle,皱,zhòu,to wrinkle
间,jiān,space between,间,jiàn,to create space between
把,bà,a handle,把,bǎ,to hold
称(秤),chèng,a scale,称,chēng,to weigh
牚,chèng,a prop,撑,chēng,to prop
扫,sào,"a broom, duster",扫,sáo,"to weep,to dust"
扇,shàn,a fan,扇,shān,to fan
,,,,,
5. Locatum Denominal Verbs,,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
鞁,bèi,a saddle,鞁,bèi,to saddle and bridle
背,bèi,back,背,bēi,to carry on back
圈,juàn,"a pen, sty",圈,juān,to shut in a pen
顶,dǐng,top of the head,顶,dǐng,to carry on the head
窖,jiào,cellar,窖,jiào,to store in a cellar
仓,cāng,storage,藏,cáng,to put into storage
炕,kàng,a heatable brick bed,炕,kàng,to bake or dry on a kang
套,tào,"a case, cover",套,tào,to put into a case
冰,bīng,ice,冰,bīng,"to put on ice, freeze"
袖,xiù,sleeve,袖,xiù,to tuck hands into sleeves
6. Miscellaneous Denominal Verbs (Remove/take BASE NOUN),,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
滴,dī,"a drip,a droop of something",滴,dī,to drip
7. Instrumental Denominal Verbs (Use BASE NOUN),,,,,
NOUN VERB,,,,,
SourceN,Pinyin,Meaning,TargetV,Pinyin,Meaning
刨,bào,a plan,刨,bào,to plane(wood)
鞭,biān,a whip,鞭,Biān,to whip
锄,chú,a hoe,锄,chú,to hoe
犁,lí,a plow,犁,lí,to plow
梳,shū,a comb,梳,shū,to comb
锛,bēn,an adze,锛,bēn,to adze
叉,chā,a fork,叉,chā,to fork
铲,chǎn,a shovel,铲,chǎn,to shovel
锤,chúi,a hammer,锤(捶),chúi,to hammer
垫,diàn,a cushion,垫,diàn,to cushion
钩,gōu,a hook,钩,gōu,to hook
夹,jiā,a clip,夹,jiā,to clip
锯,jù,a saw,锯,jù,to saw
铐,kào,handcuffs,铐,kào,to handcuff
扣,kòu,a button,扣,kòu,to button
砻,lóng,a rice huller,砻,long,to hull rice
碾,niǎn,a roller (for grinding grains),碾,niǎn,to grind or husk with a roller
镊,niè,tweezers,镊,niè,to pick up something with tweezers
耙,pá,"a rake, harrow",耙,pá,"to rake,harrow"
钳,qián,pliers,钳,qián,to grip with pliers
锁,suǒ,a lock,锁,suǒ,to lock
印,yìn,a seal,印,yìn,to stamp with a seal
凿,záo,a chisel,凿,záo,to chisel
铡,zhá,hay cutter,铡,zhá,to cut with hay cutter
锥,zhuī,an awl,锥,zhuī,to pierce
