subject,predicate,object,target,relation,novelty
researcher,publish,Microsoft,paper,locatum_on,established
Governor,sign,law,sign,locatum_on,established
Governor,sign,law,sign,locatum_on,established
child,get,life,child,locatum_on,established
child,get,life,child,locatum_on,established
II,break,June,ground,locatum_on,established
Virginia,open,Monitor,fire,locatum_on,established
Virginia,open,Monitor,fire,locatum_on,established
heath,catch,May,fire,locatum_on,established
Kelley,want,region,people,locatum_on,established
idea,put,danger,people,locatum_on,established
idea,put,danger,people,locatum_on,established
scandal,take,field,field,locatum_on,established
rape,take,house,house,locatum_on,established
course,take,form,form,locatum_on,established
course,take,form,form,locatum_on,established
Tennessee,raise,number,cap,locatum_on,established
law,bring,line,line,locatum_on,established
student,create,conjunction,poster,locatum_on,established
ALP,win,November,seat,locatum_on,established
ALP,win,November,seat,locatum_on,established
daughter,spot,sky,spot,locatum_on,established
daughter,spot,sky,spot,locatum_on,established
third,take,house,house,locatum_on,established
challenger,focus,Ahmadinejad,fire,locatum_on,established
challenger,focus,Ahmadinejad,fire,locatum_on,established
cause,receive,exchange,ticket,locatum_on,established
cause,receive,exchange,ticket,locatum_on,established
President,sign,law,sign,locatum_on,established
President,sign,law,sign,locatum_on,established
student,create,master,master,locatum_on,established
one,foot,crisis,foot,locatum_on,established
one,foot,crisis,foot,locatum_on,established
membrane,cover,head,cover,locatum_on,established
Obama,sign,law,sign,locatum_on,established
representative,blow,prosecution,hole,locatum_on,established
representative,blow,prosecution,hole,locatum_on,established
rifle,open,venue,fire,locatum_on,established
girl,carry,head,water,locatum_on,established
research,find,China,people,locatum_on,established
research,find,China,people,locatum_on,established
consultation,take,form,form,locatum_on,established
consultation,take,form,form,locatum_on,established
House,pull,Sandy,plug,locatum_on,established
market,take,Sunday,market,locatum_on,established
conference,take,order,order,locatum_on,established
conference,take,order,order,locatum_on,established
Ward,overhear,company,man,locatum_on,established
WCA,ask,Aleppo,people,locatum_on,established
WCA,ask,Aleppo,people,locatum_on,established
string,contain,plaintext,string,locatum_on,established
side,exchange,border,fire,locatum_on,established
Tech,spread,farm,farm,locatum_on,established
Jesus,poke,wall,hole,locatum_on,established
service,employ,occupation,people,locatum_on,established
researcher,publish,Microsoft,paper,locatum_on,established
Governor,sign,law,sign,locatum_on,established
Governor,sign,law,sign,locatum_on,established
child,get,life,child,locatum_on,established
child,get,life,child,locatum_on,established
II,break,June,ground,locatum_on,established
Virginia,open,Monitor,fire,locatum_on,established
Virginia,open,Monitor,fire,locatum_on,established
heath,catch,May,fire,locatum_on,established
Kelley,want,region,people,locatum_on,established
idea,put,danger,people,locatum_on,established
idea,put,danger,people,locatum_on,established
scandal,take,field,field,locatum_on,established
rape,take,house,house,locatum_on,established
course,take,form,form,locatum_on,established
course,take,form,form,locatum_on,established
Tennessee,raise,number,cap,locatum_on,established
law,bring,line,line,locatum_on,established
student,create,conjunction,poster,locatum_on,established
ALP,win,November,seat,locatum_on,established
ALP,win,November,seat,locatum_on,established
daughter,spot,sky,spot,locatum_on,established
daughter,spot,sky,spot,locatum_on,established
third,take,house,house,locatum_on,established
challenger,focus,Ahmadinejad,fire,locatum_on,established
challenger,focus,Ahmadinejad,fire,locatum_on,established
cause,receive,exchange,ticket,locatum_on,established
cause,receive,exchange,ticket,locatum_on,established
President,sign,law,sign,locatum_on,established
President,sign,law,sign,locatum_on,established
student,create,master,master,locatum_on,established
one,foot,crisis,foot,locatum_on,established
one,foot,crisis,foot,locatum_on,established
membrane,cover,head,cover,locatum_on,established
Obama,sign,law,sign,locatum_on,established
representative,blow,prosecution,hole,locatum_on,established
representative,blow,prosecution,hole,locatum_on,established
rifle,open,venue,fire,locatum_on,established
girl,carry,head,water,locatum_on,established
research,find,China,people,locatum_on,established
research,find,China,people,locatum_on,established
consultation,take,form,form,locatum_on,established
consultation,take,form,form,locatum_on,established
House,pull,Sandy,plug,locatum_on,established
market,take,Sunday,market,locatum_on,established
conference,take,order,order,locatum_on,established
conference,take,order,order,locatum_on,established
Ward,overhear,company,man,locatum_on,established
WCA,ask,Aleppo,people,locatum_on,established
WCA,ask,Aleppo,people,locatum_on,established
string,contain,plaintext,string,locatum_on,established
side,exchange,border,fire,locatum_on,established
Tech,spread,farm,farm,locatum_on,established
Jesus,poke,wall,hole,locatum_on,established
service,employ,occupation,people,locatum_on,established
Litchfield,find,Phoenix,land,locatum_on,established
Cath,eyeball,disgust,eyeball,locatum_on,established
user,inject,vein,drug,locatum_on,established
mom,leave,heart,hole,locatum_on,established
mom,leave,heart,hole,locatum_on,established
Stuart,find,box,poster,locatum_on,established
man,make,world,man,locatum_on,established
farmer,manage,way,land,locatum_on,established
meeting,take,house,house,locatum_on,established
meeting,take,house,house,locatum_on,established
Put,save,Doris,label,locatum_on,established
world,immerse,conformism,man,locatum_on,established
child,know,life,child,locatum_on,established
cher,introduce,Guangzhou,shoe,locatum_on,established
repository,get,weekend,weekend,locatum_on,established
passenger,book,aircraft,book,locatum_on,established
Kenosha,lead,number,number,locatum_on,established
America,put,lapel,flag,locatum_on,established
