utterance,year,relation,target,object,verb
discharge_vvi his_appge duty_nn1 as_ii_csa an_at1 advocate_nn1 ,1823,agent,advocate,duty,discharge
show_vvd colden_np1_nn1 as_ii_csa the_at advocate_nn1 ,1827,agent,advocate,colden,show
hear_vv0 no_at complaint_nn2 from_ii the_at advocate_nn2 ,1827,location_out,advocate,complaint,hear
jj_vvn stupidity_nn1 by_ii the_at advocate_nn2 ,1839,instrument,advocate,stupidity,jj
take_vv0 our_appge stand_nn1 as_ii_csa the_at advocate_nn2 ,1840,agent,advocate,stand,take
overestimate_vv0 my_appge value_nn1 as_ii_csa an_at1 advocate_nn1 ,1863,agent,advocate,value,overestimate
walk_vvg the_at court_nn2 as_ii_csa an_at1 advocate_nn1 ,1884,agent,advocate,court,walk
state_vvi their_appge case_nn1 by_ii an_at1 advocate_nn1 ,1891,instrument,advocate,case,state
turn_vvi his_appge back_nn1 on_ii the_at advocate_nn2 ,1894,location_on,advocate,back,turn
judge_vv0 advocate_nn1_vv0 on_ii the_at staff_nn ,1901,locatum_on,advocate,staff,judge
turn_vvi the_at table_nn2 on_ii the_at advocate_nn1 ,1967,location_on,advocate,table,turn
win_vvn regard_nn1_vv0 as_ii an_at1 advocate_nn1 ,1980,agent,advocate,regard,win
define_vvd shapard_np1 as_ii_csa an_at1 advocate_nn1 ,1994,agent,advocate,shapard,define
leave_vvi their_appge child_nn2 with_iw an_at1 advocate_nn1 ,1994,instrument,advocate,child,leave
need_vv0 an_at1 advocate_nn1 on_ii the_at council_nn1 ,1995,locatum_on,advocate,council,need
forbid_vvi the_at ban_nn2 on_ii my_appge marriage_nn1 ,1871,locatum_on,ban,marriage,forbid
put_vvn her_appge_ppho1 ban_nn1 on_ii your_appge wife_nn1 ,1873,locatum_on,ban,wife,put
lay_vvd_vvn a_at1 ban_nn1 on_ii the_at place_nn1 ,1896,locatum_on,ban,place,lay
set_vvd_vv0_vvn a_at1 ban_nn1 on_ii her_appge impulse_nn1 ,1902,locatum_on,ban,impulse,set
be_vbz a_at1 ban_nn1 on_ii every_at1 city_nn1 ,1909,locatum_on,ban,city,be
lift_vv0_nn1 the_at ban_nn1 on_ii the_at movement_nn2 ,1922,locatum_on,ban,movement,lift
withdraw_vvd his_appge ban_nn1 on_ii the_at oklahoma_np1 ,1923,locatum_on,ban,oklahoma,withdraw
clutch_vvg motion_nn2 with_iw his_appge ban_nn1 ,1933,instrument,ban,motion,clutch
place_vvn a_at1 ban_nn1 on_ii the_at use_nn1 ,1935,locatum_on,ban,use,place
lift_vv0 their_appge ban_nn2 on_ii the_at export_nn2 ,1935,locatum_on,ban,export,lift
clamp_vvn a_at1 ban_nn1 on_ii a_at1 newspaper_nn1 ,1937,locatum_on,ban,newspaper,clamp
evade_vvi the_at ban_nn1 on_ii the_at use_nn1 ,1940,locatum_on,ban,use,evade
put_vvi a_at1 ban_nn1 on_ii the_at music_nn1 ,1941,locatum_on,ban,music,put
remove_vvi the_at ban_nn1 on_ii the_at use_nn1 ,1946,locatum_on,ban,use,remove
confirm_vvg the_at ban_nn1 on_ii the_at basis_nn1 ,1949,locatum_on,ban,basis,confirm
term_vvd_vvn the_at ban_nn1 on_ii the_at book_nn1 ,1949,locatum_on,ban,book,term
withdraw_vvi their_appge ban_nn1 on_ii the_at importation_nn1 ,1949,locatum_on,ban,importation,withdraw
lift_vvi the_at ban_nn1 on_ii the_at ground_nn2 ,1949,locatum_on,ban,ground,lift
lift_vvg its_appge ban_nn1 on_ii the_at sale_nn1 ,1951,locatum_on,ban,sale,lift
justify_vvi their_appge ban_nn1 on_ii the_at passage_nn1 ,1957,locatum_on,ban,passage,justify
include_vvd_vvn a_at1 ban_nn1 on_ii a_at1 city_nn1 ,1961,locatum_on,ban,city,include
take_vvd a_at1 ban_nn1 from_ii my_appge hand_nn1 ,1963,locatum_out,ban,hand,take
suggest_vvi a_at1 ban_nn1 on_ii a_at1 variety_nn1 ,1969,locatum_on,ban,variety,suggest
announce_vvd a_at1 ban_nn1 on_ii the_at use_nn1 ,1973,locatum_on,ban,use,announce
be_vbz a_at1 ban_nn1 on_ii the_at manufacture_nn1 ,1976,locatum_on,ban,manufacture,be
restore_vv0 the_at ban_nn1 on_ii the_at sst_np1 ,1977,locatum_on,ban,sst,restore
restore_vv0 the_at ban_nn1 on_ii the_at sst_np1 ,1977,locatum_on,ban,sst,restore
slap_vvi a_at1 ban_nn1 on_ii his_appge sermon_nn2 ,1978,locatum_on,ban,sermon,slap
accept_vvi a_at1 ban_nn1 on_ii the_at test_nn1 ,1978,locatum_on,ban,test,accept
enforce_vvg a_at1 ban_nn1 on_ii its_appge activity_nn2 ,1981,locatum_on,ban,activity,enforce
have_vhi no_at ban_nn1 on_ii an_at1 action_nn1 ,1984,locatum_on,ban,action,have
propose_vvn a_at1 ban_nn1 on_ii the_at fungicide_nn1 ,1985,locatum_on,ban,fungicide,propose
put_vvi a_at1 ban_nn1 on_ii the_at jew_nn2 ,1989,locatum_on,ban,jew,put
consider_vvg_ii a_at1 ban_nn1 on_ii the_at substance_nn1 ,1990,locatum_on,ban,substance,consider
consider_vvi a_at1 ban_nn1 on_ii the_at use_nn1 ,1993,locatum_on,ban,use,consider
circumvent_vvd_vvn the_at ban_nn1 on_ii the_at slave_nn1 ,1997,locatum_on,ban,slave,circumvent
pass_vvn a_at1 moratorium_nn1 on_ii the_at ban_nn1 ,1997,location_on,ban,moratorium,pass
include_vvd_vvn a_at1 ban_nn1 on_ii the_at persecution_nn1 ,1998,locatum_on,ban,persecution,include
be_vbdz a_at1 ban_nn1 on_ii the_at export_nn1 ,1999,locatum_on,ban,export,be
mean_vvd_vvn a_at1 ban_nn1 on_ii its_appge development_nn1 ,1999,locatum_on,ban,development,mean
be_vbz a_at1 ban_nn1 on_ii the_at use_nn1 ,2005,locatum_on,ban,use,be
be_vbz my_appge hand_nn1 on_ii your_appge bargain_nn1 ,1834,location_on,bargain,hand,be
be_vbdz a_at1 loser_nn1 by_ii the_at bargain_nn1 ,1843,instrument,bargain,loser,be
go_vvi share_nn2 with_iw my_appge bargain_nn1 ,1851,instrument,bargain,share,go
regard_vvi marriage_nn1 as_ii a_at1 bargain_nn1 ,1864,agent,bargain,marriage,regard
conclude_vvi the_at bargain_nn1 on_ii the_at spot_nn1 ,1873,locatum_on,bargain,spot,conclude
close_vvi the_at bargain_nn1 on_ii the_at spot_nn1 ,1885,locatum_on,bargain,spot,close
close_vvi the_at bargain_nn1 on_ii the_at spot_nn1 ,1893,locatum_on,bargain,spot,close
make_vvi an_at1 introduction_nn1 as_ii_csa a_at1 bargain_nn1 ,1895,agent,bargain,introduction,make
tear_vvd his_appge beard_nn1 during_ii the_at bargain_nn1 ,1903,duration,bargain,beard,tear
shake_vv0_nn1 hand_nn2 on_ii the_at bargain_nn1 ,1912,location_on,bargain,hand,shake
go_vvi partner_nn1 on_ii the_at bargain_nn1 ,1912,location_on,bargain,partner,go
make_vv0 money_nn1 on_ii your_appge bargain_nn2 ,1915,location_on,bargain,money,make
shake_vv0 hand_nn2 on_ii a_at1 bargain_nn1 ,1952,location_on,bargain,hand,shake
be_vbi a_at1 bargain_nn1 from_ii the_at standpoint_nn1 ,1953,locatum_out,bargain,standpoint,be
run_vvi the_at theater_nn1 like_ii a_at1 bargain_nn1 ,1965,agent,bargain,theater,run
demand_vv0 his_appge release_nn1 from_ii the_at bargain_nn1 ,1965,location_out,bargain,release,demand
clap_vvd hand_nn2 on_ii the_at bargain_nn1 ,1993,location_on,bargain,hand,clap
know_vvz a_at1 bargain_nn1 from_ii a_at1 bag_nn1 ,1993,locatum_out,bargain,bag,know
draw_vvg their_appge bid_nn2 on_ii a_at1 basis_nn1 ,1894,locatum_on,bid,basis,draw
give_vv0 a_at1 security_nn1 with_iw the_at bid_nn1 ,1915,instrument,bid,security,give
will_vm camp_nn1 with_iw my_appge bid_nn1 ,1917,instrument,bid,camp,will
judge_vvi his_appge chance_nn2 on_ii the_at bid_nn1 ,1922,location_on,bid,chance,judge
make_vvd your_appge bid_nn1 on_ii the_at job_nn1 ,1922,locatum_on,bid,job,make
be_vbdz a_at1 bid_nn1 from_ii the_at klondike_np1 ,1936,locatum_out,bid,klondike,be
figure_vvi their_appge bid_nn1 on_ii the_at money_nn1 ,1940,locatum_on,bid,money,figure
weigh_vvd a_at1 bid_nn1 from_ii a_at1 union_nn1 ,1958,locatum_out,bid,union,weigh
receive_vvn a_at1 bid_nn1 from_ii the_at white_np1 ,1958,locatum_out,bid,white,receive
win_vvd the_at contract_nn1 with_iw a_at1 bid_nn1 ,1960,instrument,bid,contract,win
receive_vvi a_at1 bid_nn1 from_ii his_appge brother_nn1 ,1965,locatum_out,bid,brother,receive
have_vhd a_at1 bid_nn1 from_ii every_at1 club_nn1 ,1965,locatum_out,bid,club,have
place_vv0 a_at1 limit_nn1 on_ii the_at bid_nn2 ,1965,location_on,bid,limit,place
set_vvn a_at1 trap_nn1 with_iw their_appge bid_nn1 ,1973,instrument,bid,trap,set
enter_vvd_vvn a_at1 bid_nn1 on_ii the_at job_nn1 ,1974,locatum_on,bid,job,enter
produce_vvi a_at1 bid_nn1 on_ii the_at superdome_nn1_np1 ,1975,locatum_on,bid,superdome,produce
require_vvi bid_nn2 on_ii the_at order_nn2 ,1975,locatum_on,bid,order,require
bet_vv0 a_at1 dollar_nnu1 on_ii the_at bid_nn1 ,1980,location_on,bid,dollar,bet
name_vvg_nn1 souter_np1_nn1 be_vbdz a_at1 bid_nn1 ,1990,goal,bid,souter,name
take_vvg bid_nn2_vvz from_ii an_at1 array_nn1 ,1992,locatum_out,bid,array,take
obtain_vvi bid_nn2 on_ii the_at car_nn1 ,1995,locatum_on,bid,car,obtain
lose_vvd_vvn money_nn1 on_ii their_appge bid_nn2 ,1996,location_on,bid,money,lose
take_vv0 bid_nn2 on_ii the_at work_nn1 ,1996,locatum_on,bid,work,take
make_vvg a_at1 bid_nn1 on_ii an_at1 apartment_nn1 ,1998,locatum_on,bid,apartment,make
receive_vvd a_at1 fax_nn1 from_ii the_at bid_nn1 ,1999,location_out,bid,fax,receive
handle_vvi her_appge arrangement_nn2 with_iw the_at bid_nn1 ,1999,instrument,bid,arrangement,handle
take_vvd place_nn1 with_iw a_at1 bid_nn1 ,1999,instrument,bid,place,take
get_vvd my_appge bid_nn1 from_ii a_at1 sorority_nn1 ,2002,locatum_out,bid,sorority,get
display_vv0 the_at bid_nn2 on_ii the_at flower_nn2 ,2004,locatum_on,bid,flower,display
have_vhi the_at broadcast_nn1 from_ii the_at macom_np1 ,1930,locatum_out,broadcast,macom,have
call_vv0 broadcast_nn1_vvn_vv0 from_ii the_at hut_nn1 ,1931,locatum_out,broadcast,hut,call
reprint_vv0 excerpt_nn2 from_ii a_at1 broadcast_nn1 ,1941,location_out,broadcast,excerpt,reprint
increase_vvi its_appge revenue_nn1 from_ii the_at broadcast_nn2 ,1943,location_out,broadcast,revenue,increase
trade_vvi data_nn on_ii the_at broadcast_nn2 ,1957,location_on,broadcast,data,trade
create_vvg a_at1 wave_nn1 like_ii the_at broadcast_nn2 ,1957,agent,broadcast,wave,create
hear_vvn a_at1 broadcast_nn1 from_ii a_at1 khomeini_np1 ,1986,locatum_out,broadcast,khomeini,hear
show_vv0 her_appge face_nn1 on_ii the_at broadcast_nn1 ,1991,location_on,broadcast,face,show
wish_vvi broadcast_nn1_vvn on_ii the_at botany_nn1 ,2003,locatum_on,broadcast,botany,wish
catch_vvd vieira_np1 on_ii a_at1 broadcast_nn1 ,2006,location_on,broadcast,vieira,catch
contain_vvg scene_nn2 from_ii the_at capture_nn1 ,1839,location_out,capture,scene,contain
witness_vvd the_at capture_nn1 from_ii a_at1 distance_nn1 ,1870,locatum_out,capture,distance,witness
employ_vvi their_appge time_nnt1 with_iw the_at capture_nn1 ,1875,instrument,capture,time,employ
set_vvn my_appge heart_nn1 on_ii the_at capture_nn1 ,1875,location_on,capture,heart,set
accomplish_vvi her_appge mission_nn1 by_ii the_at capture_nn1 ,1891,instrument,capture,mission,accomplish
connect_vv0 the_at explosion_nn1 with_iw the_at capture_nn1 ,1894,instrument,capture,explosion,connect
signalized_vvd his_appge return_nn1 by_ii the_at capture_nn1 ,1900,instrument,capture,return,signalized
belong_vv0 his_appge ode_nn2 on_ii the_at capture_nn1 ,1933,location_on,capture,ode,belong
confuse_vvi the_at hunt_nn1 with_iw the_at capture_nn1 ,1956,instrument,capture,hunt,confuse
be_vbdz a_at1 bulletin_nn1 on_ii the_at capture_nn1 ,1957,location_on,capture,bulletin,be
witness_vvi a_at1 chase_nn1 on_ii the_at river_nn1 ,1840,locatum_on,chase,river,witness
veil_vvn the_at chase_nn1 from_ii her_appge sight_nn1 ,1844,locatum_out,chase,sight,veil
watch_vvg the_at chase_nn1 on_ii the_at lake_nn1 ,1868,locatum_on,chase,lake,watch
divide_vvd the_at road_nn1 from_ii the_at chase_nn1 ,1899,location_out,chase,road,divide
mean_vvd news_nn1 from_ii the_at chase_nn1 ,1902,location_out,chase,news,mean
seek_vvz his_appge food_nn1 by_ii the_at chase_nn1 ,1910,instrument,chase,food,seek
make_vvi arrangement_nn2 with_iw the_at chase_nn1 ,1934,instrument,chase,arrangement,make
derive_vv0 substance_nn1 from_ii the_at chase_nn1 ,1938,location_out,chase,substance,derive
open_vvi fire_nn1 with_iw her_appge chase_nn1 ,1948,instrument,chase,fire,open
be_vbz no_at fire_nn1 as_ii_csa the_at chase_nn1 ,1950,agent,chase,fire,be
include_vvi construction_nn1 by_ii the_at chase_nn1 ,1956,instrument,chase,construction,include
lose_vvi his_appge meat_nn1 during_ii the_at chase_nn1 ,1979,duration,chase,meat,lose
give_vvd chase_nn1 from_ii a_at1 stoplight_nn1 ,1983,locatum_out,chase,stoplight,give
reach_vvi bellegarde_nn1_np1 through_ii the_at chase_nn1 ,1993,instrument,chase,bellegarde,reach
lead_vvd_vvn police_nn2 on_ii a_at1 chase_nn1 ,1996,location_on,chase,police,lead
speed_vvi chase_nn1_vv0 on_ii the_at news_nn1 ,2009,locatum_on,chase,news,speed
neutralize_vvi a_at1 color_nn1 by_ii its_appge complement_nn1 ,1954,instrument,complement,color,neutralize
bestow_vvi concern_nn1 on_ii the_at topic_nn2 ,1834,locatum_on,concern,topic,bestow
bestow_vvi concern_nn1 on_ii the_at topic_nn2 ,1835,locatum_on,concern,topic,bestow
bestow_vvi concern_nn1 on_ii the_at topic_nn2 ,1835,locatum_on,concern,topic,bestow
